model1_fake,model1_real,model2_fake,model2_real
0.2868923151292839,0.7131076848707161,0.6045370938074801,0.39546290619252
0.09304365993161023,0.9069563400683898,0.0,1.0
0.8576091394160171,0.14239086058398293,0.8943560057887121,0.105643994211288
0.0986413181001322,0.9013586818998678,0.0,1.0
0.1165370842154254,0.8834629157845746,0.0,1.0
0.18999045882241805,0.810009541177582,0.0,1.0
0.13399889961023215,0.8660011003897679,0.0,1.0
0.9114755393361528,0.08852446066384721,1.0,0.0
0.7871138322125246,0.21288616778747527,0.6045370938074801,0.39546290619252
0.7970653410541687,0.2029346589458313,0.6045370938074801,0.39546290619252
0.17962241479682872,0.8203775852031713,0.0,1.0
0.6168857958207804,0.3831142041792196,1.0,0.0
0.4546838099498042,0.5453161900501958,0.8943560057887121,0.105643994211288
0.054926141238549664,0.9450738587614504,0.0,1.0
0.1359091830891691,0.8640908169108309,0.0,1.0
0.1354316719626434,0.8645683280373566,0.0,1.0
0.6671425273552466,0.3328574726447534,1.0,0.0
0.02659750798718219,0.9734024920128178,0.0,1.0
0.6213630060009507,0.3786369939990492,0.8943560057887121,0.105643994211288
0.870236416364405,0.12976358363559498,0.6045370938074801,0.39546290619252
0.9259141158781314,0.07408588412186856,0.8943560057887121,0.105643994211288
0.14104688999025994,0.8589531100097401,0.6045370938074801,0.39546290619252
0.7553909191578589,0.2446090808421409,1.0,0.0
0.2269816806637368,0.7730183193362632,0.0,1.0
0.5220594970559059,0.477940502944094,0.8943560057887121,0.105643994211288
0.6274946823144074,0.3725053176855925,0.6045370938074801,0.39546290619252
0.7495792458019612,0.2504207541980388,0.6045370938074801,0.39546290619252
0.2469396805343278,0.7530603194656722,0.0,1.0
0.019590523994000845,0.9804094760059991,0.0,1.0
0.6887323968799649,0.3112676031200351,0.8943560057887121,0.105643994211288
0.7825917403064024,0.2174082596935976,1.0,0.0
0.9305826308299616,0.06941736917003849,1.0,0.0
0.12609662125458646,0.8739033787454136,0.0,1.0
0.5892209392100085,0.4107790607899913,0.6045370938074801,0.39546290619252
0.8642994684741729,0.13570053152582698,0.8943560057887121,0.105643994211288
0.8771615250445626,0.1228384749554374,1.0,0.0
0.2274468152881053,0.7725531847118947,0.0,1.0
0.966525605654824,0.03347439434517588,1.0,0.0
0.08976690580852176,0.9102330941914782,0.0,1.0
0.937413273830456,0.06258672616954382,1.0,0.0
0.2022244349499409,0.7977755650500591,0.0,1.0
0.7768235958003017,0.22317640419969836,0.8943560057887121,0.105643994211288
0.08959510289813878,0.9104048971018612,0.0,1.0
0.3870305013511919,0.6129694986488081,0.0,1.0
0.053383889548519685,0.9466161104514804,0.0,1.0
0.08524407739047457,0.9147559226095254,0.0,1.0
0.08873676557289313,0.9112632344271068,0.6045370938074801,0.39546290619252
0.12320255637279676,0.8767974436272032,0.6045370938074801,0.39546290619252
0.219015485646737,0.7809845143532629,0.0,1.0
0.8185172185316376,0.1814827814683624,0.8943560057887121,0.105643994211288
0.13772105384042754,0.8622789461595725,0.6045370938074801,0.39546290619252
0.16377694360413142,0.8362230563958686,0.0,1.0
0.8450116069838961,0.15498839301610387,1.0,0.0
0.03726209185743768,0.9627379081425624,0.0,1.0
0.8659415251304452,0.13405847486955474,1.0,0.0
0.949699049279657,0.05030095072034307,1.0,0.0
0.6418853079568165,0.3581146920431835,0.8943560057887121,0.105643994211288
0.8716289586209893,0.12837104137901065,0.8943560057887121,0.105643994211288
0.20424275964694386,0.7957572403530562,0.6045370938074801,0.39546290619252
0.7413422764679956,0.2586577235320045,0.6045370938074801,0.39546290619252
0.06957195327471732,0.9304280467252828,0.0,1.0
0.29478555875071044,0.7052144412492896,0.0,1.0
0.8132946889655991,0.18670531103440105,1.0,0.0
0.08373816845431302,0.916261831545687,0.0,1.0
0.8829229323898136,0.11707706761018642,0.8943560057887121,0.105643994211288
0.7787363597419662,0.2212636402580338,0.8943560057887121,0.105643994211288
0.2797999764247665,0.7202000235752335,0.6045370938074801,0.39546290619252
0.78337448864702,0.21662551135298008,0.8595641646489104,0.14043583535108958
0.4876820118927525,0.5123179881072475,0.0,1.0
0.9408140196683176,0.0591859803316824,0.6045370938074801,0.39546290619252
0.15252537280886458,0.8474746271911354,0.0,1.0
0.2391461215963239,0.7608538784036761,0.0,1.0
0.03540092317476995,0.9645990768252299,0.0,1.0
0.05936823649400635,0.9406317635059936,0.0,1.0
0.7625312106360971,0.2374687893639029,1.0,0.0
0.9642323837309528,0.03576761626904723,0.8943560057887121,0.105643994211288
0.5017378238063059,0.4982621761936941,0.6045370938074801,0.39546290619252
0.8088976124701982,0.1911023875298018,1.0,0.0
0.09602770620407086,0.9039722937959292,0.017543859649122806,0.9824561403508772
0.827980552451991,0.17201944754800902,0.8943560057887121,0.105643994211288
0.012933939389279892,0.98706606061072,0.0,1.0
0.6413360886851569,0.3586639113148431,0.6045370938074801,0.39546290619252
0.015800806390707356,0.9841991936092926,0.0,1.0
0.9951169488114722,0.004883051188527865,1.0,0.0
0.7438575382935574,0.2561424617064426,0.6045370938074801,0.39546290619252
0.24002545463373925,0.7599745453662607,0.0,1.0
0.028260975899826787,0.9717390241001732,0.0,1.0
0.15093691291715916,0.8490630870828408,0.0,1.0
0.04044852095308926,0.9595514790469108,0.0,1.0
0.03666697208072312,0.9633330279192768,0.0,1.0
0.8520214337910472,0.14797856620895272,1.0,0.0
0.13875535156302266,0.8612446484369773,0.0,1.0
0.9054624338394726,0.09453756616052747,0.8595641646489104,0.14043583535108958
0.2931433280508399,0.7068566719491601,0.6045370938074801,0.39546290619252
0.30996298698738123,0.6900370130126188,0.6045370938074801,0.39546290619252
0.04418254194899118,0.9558174580510088,0.0,1.0
0.10248954409375388,0.8975104559062461,0.0,1.0
0.028940951847203026,0.971059048152797,0.0,1.0
0.7950310861598551,0.2049689138401449,0.6045370938074801,0.39546290619252
0.006748375201070743,0.9932516247989291,0.0,1.0
0.7454629764116562,0.25453702358834385,0.6045370938074801,0.39546290619252
0.8668383472558885,0.13316165274411154,0.8595641646489104,0.14043583535108958
0.7383256090478625,0.26167439095213746,0.8595641646489104,0.14043583535108958
0.08754583976279984,0.9124541602372002,0.0,1.0
0.4376185654425387,0.5623814345574613,0.6045370938074801,0.39546290619252
0.9676230378244592,0.032376962175540765,1.0,0.0
0.15045492069800626,0.8495450793019937,0.0,1.0
0.3711559084809489,0.6288440915190511,0.16666666666666666,0.8333333333333334
0.940359790290902,0.059640209709097974,1.0,0.0
0.14862127084358778,0.8513787291564122,0.0,1.0
0.8711904815261496,0.12880951847385033,0.6045370938074801,0.39546290619252
0.854254035256499,0.14574596474350102,1.0,0.0
0.033940442677019456,0.9660595573229804,0.0,1.0
0.715344240265863,0.28465575973413704,0.0,1.0
0.455538401852706,0.544461598147294,0.0,1.0
0.2951733759361028,0.7048266240638972,0.0,1.0
0.02367831665683895,0.9763216833431609,0.0,1.0
0.8740928613626552,0.12590713863734485,1.0,0.0
0.8583625630011726,0.1416374369988274,0.6045370938074801,0.39546290619252
0.03539985902616038,0.9646001409738396,0.0,1.0
0.14867864276225407,0.8513213572377459,0.0,1.0
0.4571272804566112,0.5428727195433888,0.8595641646489104,0.14043583535108958
0.04457426935921915,0.9554257306407808,0.0,1.0
0.21035198229715826,0.7896480177028418,0.0,1.0
0.5120591308945126,0.4879408691054874,0.0,1.0
0.7634291534548547,0.2365708465451452,0.6045370938074801,0.39546290619252
0.02953207590395457,0.9704679240960454,0.0,1.0
0.3319113661861217,0.6680886338138783,0.017543859649122806,0.9824561403508772
0.15684295205517562,0.8431570479448244,0.0,1.0
0.020647698945670312,0.9793523010543296,0.0,1.0
0.11123695306819248,0.8887630469318075,0.0,1.0
0.14100498352271906,0.8589950164772809,0.0,1.0
0.69656205606518,0.30343794393482,1.0,0.0
0.9567215991020632,0.043278400897936685,1.0,0.0
0.9365197292228692,0.06348027077713073,0.8943560057887121,0.105643994211288
0.9037644494913312,0.09623555050866876,0.8595641646489104,0.14043583535108958
0.9429867646712112,0.05701323532878867,1.0,0.0
0.07310829441259814,0.926891705587402,0.0,1.0
0.31964625419700354,0.6803537458029965,0.6045370938074801,0.39546290619252
0.9302073112061028,0.06979268879389723,0.6045370938074801,0.39546290619252
0.0878123300975675,0.9121876699024324,0.0,1.0
0.6847718865754573,0.31522811342454266,0.8595641646489104,0.14043583535108958
0.7679869827073249,0.23201301729267515,0.8943560057887121,0.105643994211288
