model1_fake,model1_real
0.025614737512127728,0.9743852624878723
0.9442055608224766,0.05579443917752334
0.9971336742752299,0.0028663257247700798
0.1130060836563872,0.8869939163436128
0.3469046630149989,0.6530953369850011
0.470640202054854,0.529359797945146
0.13098666266222803,0.869013337337772
0.5678109398164075,0.4321890601835925
0.006784735524544172,0.9932152644754558
0.07290017998165921,0.9270998200183408
0.45403636983821194,0.5459636301617881
0.9430659734268463,0.056934026573153704
0.12335994128718064,0.8766400587128194
0.5803374954254719,0.4196625045745281
0.785473349857343,0.2145266501426571
0.8438786156653485,0.15612138433465148
0.6230804007648895,0.37691959923511054
0.9221898682067198,0.07781013179328017
0.42317484282712226,0.5768251571728777
0.37222393210323856,0.6277760678967614
0.7413075356093117,0.2586924643906882
0.960106164009472,0.03989383599052802
0.4251153065106319,0.5748846934893681
0.9352242816327911,0.06477571836720884
0.2267879860578943,0.7732120139421057
0.11622777333154977,0.8837722266684502
0.48049439590012677,0.5195056040998732
0.702377703970553,0.297622296029447
0.01793664004968687,0.9820633599503131
0.9645784210985723,0.0354215789014277
0.8525399351218461,0.14746006487815394
0.9394280606696723,0.06057193933032769
0.21273000545578236,0.7872699945442176
0.8672592424727298,0.1327407575272702
0.4536399244492786,0.5463600755507214
0.29521890045424704,0.704781099545753
0.06942344110871879,0.9305765588912812
0.004328826008708542,0.9956711739912915
0.8006771712153227,0.19932282878467733
0.2195327461068627,0.7804672538931373
0.2836670106593161,0.7163329893406839
0.7930443047865186,0.20695569521348148
0.9718971566339042,0.028102843366095823
0.6819590660788356,0.3180409339211644
0.7984771398382937,0.20152286016170629
0.4268995787591445,0.5731004212408555
0.45344941778642656,0.5465505822135734
0.8720761721506849,0.12792382784931514
0.9092394632415736,0.09076053675842644
0.035637370849470495,0.9643626291505295
0.9262999645207054,0.07370003547929457
0.7925363717415368,0.2074636282584632
0.8827373656582264,0.11726263434177361
0.7559200689330225,0.24407993106697748
0.9833693313794395,0.016630668620560528
0.6027998992618501,0.39720010073814993
0.2374260633152736,0.7625739366847264
0.9396298839061497,0.060370116093850325
0.35999130244983824,0.6400086975501618
0.006179272012786674,0.9938207279872133
0.8593710537755082,0.1406289462244919
0.06414153456449823,0.9358584654355018
0.909250236813484,0.0907497631865159
